model,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,inference_time_ms_mean
Baseline Impedance,0.010733333333333334,0.0002529822128134701,0.01328,0.000394179879975853,0.025626666666666666,0.0005259488779550932,0.0040755159999874505
Baseline Reactance,0.00964,0.00046110977242108225,0.01686666666666667,0.000651835016617617,0.024493333333333332,0.0008333066662399868,0.0034808373333362398
Baseline Topological,0.0198,0.0004258325179379018,0.034973333333333335,0.00039237170585499183,0.051039999999999995,0.0005836284967530472,0.002194070666664629
