model,n_folds,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,hop_mean_mean,hop_mean_std,hop_within_1_mean,hop_within_1_std,training_time_mean,training_time_std,inference_time_ms_mean,inference_time_ms_std,n_params_mean,n_params_std
Deep Residual MLP,5,0.8323866666666667,0.003911328276799195,0.9765066666666667,0.0018429927352602764,0.9918933333333333,0.0009195167813102279,0.4586666666666666,0.014357468052859765,0.9092,0.003329330930449036,1112.741765165329,148.9267550051687,1.081367600010708,0.006462480073682491,697850.0,0.0
TabNet,5,0.7783466666666666,0.013123238082797148,0.9636933333333333,0.003910237276119648,0.9887066666666666,0.0006910217877253602,0.5978800000000001,0.029145471155719707,0.8808933333333334,0.008569776348695822,1212.6723680496216,115.88817672450948,7.6599069999865605,0.05423041679209576,189602.0,0.0
MLP Baseline,5,0.7498533333333333,0.0017770887553649384,0.9561733333333334,0.0031293875865202074,0.9844666666666667,0.0018364216412481474,0.66416,0.003914326960737394,0.8702,0.0020321854683511983,692.4920048713684,60.44646336304597,0.48496919999161037,0.0167749190494255,418874.0,0.0
Random Forest,5,0.45986666666666665,0.0063248364054381435,0.7512399999999999,0.0047468539288904096,0.8518666666666667,0.0014871299726505179,1.46416,0.01420075741328999,0.7061733333333334,0.002388342056276217,2357.7800538539886,15.03584433640656,101.57947739999508,2.685841534759228,19506161.2,29598.667499737214
LightGBM,5,0.4278266666666667,0.003685792542543146,0.7121066666666667,0.005503550369231346,0.82088,0.0024398178438381985,1.5679066666666668,0.008329503119767784,0.6791466666666667,0.0024116015886174427,462.7357581615448,6.337944817613197,2.7352148000063607,0.050395395610096545,11882.8,350.2058823035387
