model,fault_type,top1_mean,top1_std,top3_mean,top3_std
Deep Residual MLP,LLL,0.9298583234927916,0.011836549360833714,0.9989409758601218,0.0009929754626534727
Deep Residual MLP,LL,0.8884469825761379,0.005268513310749432,0.9952006972385046,0.002303014439187072
Deep Residual MLP,LLG,0.747921119633181,0.008821259522467866,0.9486293781625268,0.005501607867427493
Deep Residual MLP,LG,0.8295872337519782,0.0040975302183016505,0.9761976019938929,0.0018242111157359907
Random Forest,LLL,0.7486618464957508,0.013215165243010616,0.9412512440144217,0.0037058793259501185
Random Forest,LL,0.5196866874448918,0.018843867921377825,0.8200255273985801,0.00975642491008447
Random Forest,LLG,0.33663782337632087,0.012295820339443871,0.6370330270729158,0.01167832917358878
Random Forest,LG,0.4488798914942029,0.005839304828895287,0.7444857711840134,0.00424329908493089
